name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M935T537_2_NEG,935.2652492,537.2157593,22961138.49,21584017.65,20201201.07,12766766.46,13680109.97,11364097.2,12822843.36,15406655.42,9928868.997,12240168.36,9689497.322,10064225.89,13853859.83,13875731.4,10169695.01
M935T427_NEG,935.3398948,426.5558929,804329.6253,5566500.324,2155772.729,6466014.024,1128112.049,2429251.556,3965102.142,3927698.057,3948839.901,1829199.879,2149383.352,3984410.806,889702.9815,4351456.684,8295402.463
M936T537_1_NEG,935.767048,537.1968384,16866447.12,15923082.7,15383405.27,9184859.138,9026501.337,7541416.597,8891972.739,10362004.09,6541886.523,8588462.26,6398863.778,6356350.403,9478720.352,9642061.283,6889267.451
M936T537_2_NEG,936.2655362,537.1968384,23996477.31,23239711.93,21556158.64,12566410.04,13066476.61,11332861.57,13226100.02,15437809.91,9877770.361,12961323.21,9241803.215,9680771.712,14012028.4,14550206.7,10449203.1
M940T232_NEG,939.6426255,232.2991562,23191634.6,28096287.14,21770953.95,53159677.8,19971164.94,27067312.14,21746840.55,21856770.64,20160157.34,27575704.59,30382541.86,23814975.03,26595989.02,25735687.13,66753345.24
M940T537_NEG,940.2798851,537.0447388,2010288.92,1665597.976,1984529.006,3791645.372,953162.6307,1156540.151,1187017.642,1912733.215,885412.7238,1253173.847,1291561.659,812062.4718,1567041.362,1698364.623,4312655.04
M941T232_NEG,940.6442566,232.2668152,12815638.62,15184367.6,11348036.92,33060008.95,11778271.04,14484982.54,12159416.32,13010838.52,11902590.1,16428406.7,17636115.28,13575095.77,15206293.51,15043470.31,39645278.16
M941T537_2_NEG,941.2700142,537.1330566,7543933.268,8300203.543,8033263.688,5349300.885,4989840.451,4368988.876,4760313.044,5389971.293,4400405.453,4866998.523,4802750.928,4707696.628,5562031.135,5363863.626,5263506.922
M941T514_NEG,941.3161077,513.9691772,6839587.738,5680889.517,5533499.586,9431472.096,15107600.76,13075564.75,10090565.6,8669344.156,11732063.64,12976586.96,13412906,9481641.45,14268915.48,12468191.44,5727191.446
M942T232_NEG,941.6418516,232.2658615,10768490.03,13682231.47,10109688.13,27841921.9,10665296.9,13414069.66,11915540.16,11775121.34,10142709.32,14389199.93,15534926.46,11635245.18,12275652.77,12270096.89,34000662.98
M942T537_1_NEG,941.7708604,537.123291,6786391.744,6362895.092,5393250.852,3644824.752,3917401.048,3248444.255,3967087.777,4437916.994,3840340.553,3680261.04,3802113.979,3574586.509,4417428.311,3910268.646,3645615.916
M942T514_1_NEG,941.8180642,513.9462585,5301400.295,4793049.189,4566325.486,5890888.915,10714903.91,9895643.616,7226344.322,6718135.627,7612543.437,10218455.57,10743166.28,7977262.776,11738786.14,10028552.09,4064512.096
M942T537_2_NEG,942.2719713,537.123291,3215932.397,3592666.902,3741820.456,2001507.346,1855157.962,2173523.11,1938840.457,2208468.821,1817473.059,2205879.515,2103962.419,1983129.509,1971245.872,2140651.338,1731342.165
M942T514_2_NEG,942.3179462,513.8994141,4983700.016,3787925.08,3843280.256,4863159.349,8993487.14,7692715.216,5429361.403,5486410.12,6571752.706,8659156.852,8806252.902,5244443.122,8164764.178,7482313.328,7269389.685
M943T233_NEG,942.6430955,232.5834351,3658250.557,6160011.786,4561917.005,13188272.62,4555464.361,6110296.251,4696245.019,4952200.239,4127005.073,5404007.635,6101749.899,4868279.47,5718034.653,5171710.787,13969457.41
M943T514_1_NEG,942.8177492,513.8768921,2480651.487,2237104.184,2113325.059,2880460.967,4614570.85,3385403.832,3473468.244,2330645.293,2657839.365,3704222.42,3623457.009,2295892.259,4816149.22,4111265.233,5612880.247
M945T536_NEG,945.2946667,536.1914673,9416961.085,9247795.845,8180759.764,16086538.82,8605264.593,9068948.604,7702362.076,10278000.88,7620213.253,7730925.899,8150799.327,6539105.636,8675815.285,8899645.003,17698031.24
M945T332_NEG,945.4694773,332.1734314,2495537.32,2651151.313,576581.4641,797003.8404,2217409.227,1011621.308,358095.4226,884469.7288,1089526.696,506351.1784,753855.243,1365447.88,1684383.846,1633586.145,192642.0191
M946T536_1_NEG,945.7944748,536.1746216,7505130.918,7011967.052,6467367.63,13160452.49,6527605.583,6534284.118,6442142.259,8680494.103,5305562.275,6402065.529,6479898.749,5014537.971,6831850.84,7399530.975,12770360.25
M946T536_2_NEG,946.296808,536.1290894,3965071.29,3767226.747,2900417.495,6434541.659,2992201.641,3326483.895,3266656.859,3855857.174,2758205.769,3701479.765,3242224.421,2872294.206,3715516.882,4122381.421,6747770.552
M947T536_1_NEG,946.7983884,536.1524658,929531.2885,907891.0441,1142536.633,1712400.762,810089.9822,791374.2577,773340.7685,807025.5318,680975.0948,729700.4844,548904.8775,795349.7696,654646.7413,847433.818,1658723.153
M947T344_NEG,947.4840252,343.5316162,2078085.675,1235613.71,628429.9143,1059138.631,1298334.62,1178886.064,484984.7214,1146047.858,570916.513,578024.1917,1061710.882,1220074.79,813659.9902,1080878.672,285244.2873
M950T233_NEG,949.6709505,232.8072205,3825911.981,4245303.495,3805585.465,7755187.087,2590698.244,2661037.569,2689964.515,2627598.454,2401568.479,3666106.585,3988006.034,3367464.181,3695530.528,3476007.242,9476231.599
M950T459_NEG,950.3206668,458.658196,42421409.26,87332397.51,94709855.98,133311373.3,57982518.72,75300458.05,159684768.3,162559992.6,148950961.6,63889588.65,60117730.4,116436980.4,76464747.89,118960712,121571171.9
M951T459_NEG,951.3223525,458.626061,17757981.25,36120330.21,39715549.96,55210529.37,22220529.07,29340595.55,64880721.67,66378465.34,59163008.24,27895539.66,26910853.77,49161859.39,33452812.07,52288056.51,38335301.15
M952T535_NEG,952.3038067,535.0760803,1513074.25,1010278.093,964840.1599,2146354.515,1106500.767,1347117.369,1103627.323,2142107.182,1924634.827,2135072.798,1740827.34,1022776.052,1925848.789,2189510.391,2373320.42
