peak_group_id,peak_name,mz,rt,isotope,adduct,base_peak,neutral_mass,num_peaks
[39],M236T397_NEG,236.0771,396.8,[M],[M-H]-,M236T397_NEG,237.0844,1
[40],M229T136_NEG,229.048,136,[M],[M-CH2-H]-,M243T139_NEG,244.0696,5
[40],M243T139_NEG,243.0623,138.6,[M],[M-H]-,M243T139_NEG,244.0696,5
[40],M244T138_NEG,244.0654,138.5,[M+1],[M-H]-,M243T139_NEG,244.0696,5
[40],M279T139_1_NEG,279.0394,138.9,[M],[M+Cl]-,M243T139_NEG,244.0696,5
[40],M280T139_NEG,280.0424,139,[M+1],[M+Cl]-,M243T139_NEG,244.0696,5
[41],M97T65_1_NEG,96.9586,64.7,[M],ISF,M253T68_NEG,254.2248,4
[41],M239T69_NEG,239.2015,69.1,[M],[M-CH2-H]-,M253T68_NEG,254.2248,4
[41],M253T68_NEG,253.2175,67.6,[M],[M-H]-,M253T68_NEG,254.2248,4
[41],M254T67_NEG,254.2209,67.3,[M+1],[M-H]-,M253T68_NEG,254.2248,4
[42],M255T942_NEG,255.2329,941.9,[M],[M-H]-,M255T942_NEG,256.2402,2
[42],M256T941_NEG,256.2364,940.9,[M+1],[M-H]-,M255T942_NEG,256.2402,2
[43],M255T981_NEG,255.2329,981.4,[M],[M-H]-,M255T981_NEG,256.2402,1
[44],M255T1077_NEG,255.2329,1077,[M],[M-H]-,M255T1077_NEG,256.2402,1
[45],M97T65_1_NEG,96.9586,64.7,[M],ISF,M277T67_NEG,278.2248,3
[45],M277T67_NEG,277.2175,67.3,[M],[M-H]-,M277T67_NEG,278.2248,3
[45],M278T67_NEG,278.2212,67.3,[M+1],[M-H]-,M277T67_NEG,278.2248,3
[46],M279T67_NEG,279.2331,67,[M],[M-H]-,M279T67_NEG,280.2404,6
[46],M280T66_NEG,280.2366,66.4,[M+1],[M-H]-,M279T67_NEG,280.2404,6
[46],M281T66_NEG,281.2485,66.2,[M+2],[M-H]-,M279T67_NEG,280.2404,6
[46],M282T66_2_NEG,282.2521,66.4,[M+3],[M-H]-,M279T67_NEG,280.2404,6
[46],M315T67_2_NEG,315.21,67.1,[M],[M+Cl]-,M279T67_NEG,280.2404,6
[46],M559T67_NEG,559.4724,67.1,[M],[2M-H]-,M279T67_NEG,280.2404,6
[47],M71T399_NEG,71.0123,398.6,[M],ISF,M281T401_NEG,282.0952,7
[47],M100T399_3_NEG,100.0388,398.6,[M],ISF,M281T401_NEG,282.0952,7
[47],M101T399_2_NEG,101.0421,398.7,[M+1],ISF,M281T401_NEG,282.0952,7
[47],M102T399_NEG,102.0431,398.7,[M+2],ISF,M281T401_NEG,282.0952,7
[47],M135T399_NEG,135.0285,398.6,[M],[M-C6H10O4-H]-,M281T401_NEG,282.0952,7
[47],M267T404_NEG,267.0726,404.1,[M],[M-CH2-H]-,M281T401_NEG,282.0952,7
[47],M281T401_NEG,281.0879,401.5,[M],[M-H]-,M281T401_NEG,282.0952,7
[48],M283T66_NEG,283.2645,66.3,[M],[M-H]-,M283T66_NEG,284.2718,3
[48],M284T66_NEG,284.2676,66.4,[M+1],[M-H]-,M283T66_NEG,284.2718,3
[48],M285T66_NEG,285.2708,66.4,[M+2],[M-H]-,M283T66_NEG,284.2718,3
[49],M341T390_NEG,341.1087,390.1,[M],[M-H]-,M341T390_NEG,342.116,12
[49],M342T390_NEG,342.1126,390.1,[M+1],[M-H]-,M341T390_NEG,342.116,12
[49],M343T390_NEG,343.1136,390.1,[M+2],[M-H]-,M341T390_NEG,342.116,12
[49],M377T392_NEG,377.0858,392.1,[M],[M+Cl]-,M341T390_NEG,342.116,12
[49],M378T392_NEG,378.0895,392.1,[M+1],[M+Cl]-,M341T390_NEG,342.116,12
[49],M401T390_NEG,401.13,390.2,[M],[M+CH3COO]-,M341T390_NEG,342.116,12
