name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M337T922_POS,337.32949,921.80518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M338T274_POS,338.02239,273.6947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M338T783_POS,338.2039,783.30487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M338T843_2_POS,338.3407,843.3894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M338T917_POS,338.34107,916.64907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M339T702_POS,339.23138,702.42911,metAnnotation;metAnnotation,C00674;C01227,M306T784_POS;M306T784_POS,C03681;C01953,1.08398256521679;1.02639259716045,[M];[M],M+Na;M+Na,C21H32O2;C21H32O2,13;13,"5alpha-Pregnane-3,20-dione;Pregnenolone",C03681_3;C01953_3,grade2;grade2
M339T808_POS,339.23138,807.70245,metAnnotation;metAnnotation,C00674;C01227,M306T784_POS;M306T784_POS,C03681;C01953,1.77366726392428;1.70744626363782,[M];[M],M+Na;M+Na,C21H32O2;C21H32O2,27;27,"5alpha-Pregnane-3,20-dione;Pregnenolone",C03681_4;C01953_4,grade2;grade2
M339T740_POS,339.25083,740.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M339T830_POS,339.25294,830.20248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M339T843_2_POS,339.34413,843.38669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T703_POS,340.235,703.33475,isotopeAnnotation;isotopeAnnotation,C01953;C03681,M339T702_POS;M339T702_POS,C01953;C03681,0.741577469604548;0.741577469604548,[M+1];[M+1],M+Na;M+Na,C21H32O2;C21H32O2,NA;NA,"Pregnenolone;5alpha-Pregnane-3,20-dione",C01953_3;C03681_3,grade2;grade2
M340T808_POS,340.23985,807.66907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T409_2_POS,340.25834,409.15312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T829_POS,340.25627,829.18042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T694_POS,340.28202,694.1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T834_POS,340.28409,834.28442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T843_POS,340.34829,843.39545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M340T905_POS,340.3569,905.46198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T409_1_POS,340.7598,409.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T200_POS,341.13787,199.64344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T294_POS,341.20669,293.69943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T775_POS,341.23235,775.16602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T808_POS,341.24244,808.44086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T796_POS,341.2658,796.13052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T409_2_POS,341.26266,409.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T912_POS,341.26836,912.29181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T693_POS,341.28568,693.3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T834_POS,341.2878,834.3382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T897_POS,341.30461,897.33118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M341T844_POS,341.35569,843.91373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T409_1_POS,341.76424,409.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T73_POS,342.13888,72.51338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T114_POS,342.1759,114.1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T409_2_POS,342.26513,409.06216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T912_POS,342.27155,911.53275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M342T816_POS,342.37267,815.91301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M343T72_POS,343.14245,72.23972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M343T453_POS,343.13858,453.44835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M343T676_POS,343.29567,676.21143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M343T409_POS,343.30598,409.17093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M343T788_POS,343.3765,787.59055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T154_POS,344.13687,154.26884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T197_POS,344.13343,196.69724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T175_POS,344.22768,174.52707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T745_POS,344.27943,745.17717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T676_POS,344.29878,676.22482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M344T796_POS,344.3157,796.49493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M345T700_POS,345.13313,700.40619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M345T293_POS,345.13273,293.23125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M345T148_POS,345.19134,148.24149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M345T798_POS,345.20347,798.36508,adductAnnotation,KeggExd042647,M323T798_POS,KeggExd042647,0.879596666663891,[M],M+Na,C19H30O4,"NA","NA",KeggExd042647_1,grade2
M345T812_POS,345.24015,811.82544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M345T796_POS,345.31904,796.40765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
