peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,Size1,Size2,Size3,Size4,Size5,Size6,QC_N,QC1_1,QC1_2,QC2_1,QC2_2,QC3_1,QC3_2,QC4_1,QC4_2,Size_1_1,Size_1_2,Size_1_3,Size_2_1,Size_2_2,Size_2_3,Size_3_1,Size_3_2,Size_3_3,Size_4_1,Size_4_2,Size_5_1,Size_5_2,Size_6_1,Size_6_2
M335T63_NEG,335.06963054164396,335.0693192523498,335.06994183093803,62.846777685546876,58.41119910888672,67.28235626220703,2,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3168035.1030562506,NA,NA,NA,NA,6608274.817762505
M335T121_NEG,335.0718318257457,335.07175644222383,335.0719072092675,120.81951522827148,119.96994018554688,121.6690902709961,2,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444564.03528750024,513187.40700000006,NA,NA
M335T191_NEG,335.07753099709805,335.07753099709805,335.07753099709805,190.9452667236328,190.9452667236328,190.9452667236328,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455211.6678757104
M335T153_NEG,335.09076819599335,335.09033777307167,335.0912423197483,153.24108123779297,151.66969299316406,167.60577392578125,24,9,3,3,3,2,2,2,53793792.97393821,8872512.57028386,57529752.64745627,15717248.76746091,59382977.21658817,35100368.56980591,57817268.77378359,38805104.85554687,52458685.42500468,34015358.75639941,31522403.963164873,22247569.40279999,95926898.1127322,83799951.5951129,118458038.14025705,21522494.94892382,35620713.16139704,21522494.94892382,45745402.135650046,31948856.72760896,93507383.69091831,137182903.91589475,77841564.90961918,156682363.07172662
M335T352_NEG,335.0925148659219,335.0920627525827,335.0930306094648,351.8852233886719,351.00250244140625,352.92633056640625,16,5,2,3,0,2,2,2,550659.3133997398,NA,936113.4513011342,NA,1270244.749265622,NA,760823.4798716524,NA,876635.1604570261,895739.9066731794,NA,1159264.8572777798,1066833.5311779124,1108776.031730469,1200946.725825001,NA,NA,NA,770914.8682500002,649894.6277763683,1470903.931674479,1726238.5901953129,2597514.0326832943,1716137.3946312487
M335T65_NEG,335.1171174592007,335.11419000370205,335.11751678155895,65.21324920654297,64.43089294433594,74.75333404541016,9,2,2,2,2,1,0,0,NA,1501181.9047937498,NA,NA,857865.172649999,NA,NA,NA,NA,4614575.192427086,5408144.975355001,NA,817308.6421709367,NA,4168321.5756632844,5040725.054200002,NA,5040725.054200002,NA,333399.7090549998,NA,NA,NA,NA
M335T292_NEG,335.135029577925,335.1347422013887,335.1353169544614,292.0972900390625,291.0872802734375,293.1072998046875,2,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008087.1289140675,2516334.9374101576,NA,NA
M335T73_NEG,335.154555867831,335.1528072230627,335.1546338702304,73.258453369140625,70.514068603515625,73.65576934814453,4,0,1,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578759.0556310548,NA,NA,NA,NA,453819.83107296895,NA,453819.83107296895,NA,NA,NA,NA,971608.1326496089,NA
M335T280_NEG,335.17153978008696,335.1711452054012,335.1721374474132,279.52540588378906,278.0704345703125,280.2657470703125,4,1,0,0,0,0,2,1,190665.64112812412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828039.7602353485,676302.7469866115,NA,1210467.6305561087
M335T109_NEG,335.26387560231007,335.2630837541164,335.2641406052881,109.11194610595703,108.04014587402344,110.0409164428711,9,5,1,0,0,0,2,1,459389.5298437498,NA,370955.54800000065,NA,346771.50117187446,NA,449406.9437343756,NA,369524.9102812501,410448.7599374993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840606.8885005576,1222890.299526786,392381.8000794274,NA
M336T67_NEG,336.0724507279165,336.0724507279165,336.0724507279165,66.695648193359375,66.695648193359375,66.695648193359375,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3065835.4798130174
M336T153_NEG,336.0938576751697,336.0934471450672,336.09465850970435,153.22328186035156,151.66969299316406,167.60577392578125,24,9,3,3,3,2,2,2,7642756.016666668,1096293.9773789083,8584871.620406246,1788406.0454804692,8145484.683218147,4581144.403500009,8294053.024628596,5256478.143296882,7406975.129937497,5010779.565274083,4228899.231843749,2977257.2498046956,14376186.6125625,11476253.063078607,16417281.627067694,2910407.138318744,4992473.970192306,2910407.138318744,6886172.995799006,4332499.065709512,13563738.817369146,19287802.442642853,11390814.762042971,23930378.45071875
