"variable_id","name","InChIKey","ClassyFy.Status","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5"
"M106T67_POS","Serine; CE10; MTCFGRXMJLQNBG-REOHCLBHSA-N","MTCFGRXMJLQNBG-REOHCLBHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Serine and derivatives","",NA
"M107T706_POS","p-Xylene","QGWNDRXFNXRZMB-UUOKFMHZSA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside diphosphates","","","",""
"M110T75_POS","2-Aminophenol","FXGHOAZJQNLNFD-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","N-alkylindoles","N-alkylindoles","","",NA,NA
"M111T72_NEG","Monomethyl sulfate","SLIRURSWQCRWFG-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","Vinca alkaloids","","Vinca alkaloids","","","",NA
"M111T937_2_POS","Fosetyl","HKBNFRWWGNBEIC-HNNXBMFYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Thiochromanes","","Thiochromanes","","","",NA
"M114T65_POS","1-Pyrroline-2-carboxylate","WTEOIRVLGSZEPR-UHFFFAOYSA-N","Completed","Inorganic compounds","Mixed metal/non-metal compounds","Metalloid salts","Metalloid fluorides","Metalloid fluorides","","","",NA
"M115T448_NEG","Maleic acid","VZCYOOQTPOCHFL-UPHRSURJSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","","","",NA
"M115T95_NEG","4-Hydroxy-4-methyl-2-pentanone","SWXVUIWOUIDPGS-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Beta-hydroxy ketones","","",NA
"M116T371_NEG","5-Aminovaleric acid","JJMDCOVWQOJGCB-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Delta amino acids and derivatives","","",NA
"M116T64_POS","Proline","ONIBWKKTOPOVIA-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives","",""
"M116T64_POS","Proline","ONIBWKKTOPOVIA-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives","",NA
"M117T353_NEG","Succinate","FVNFBBAOMBJTST-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Azaspirodecane derivatives","","Azaspirodecane derivatives","","",NA,NA
"M117T417_NEG","Succinic acid","KDYFGRWQOYBRFD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","","","",""
"M117T417_NEG","Succinic acid","KDYFGRWQOYBRFD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","","","",NA
"M118T67_POS","L-Valine","KZSNJWFQEVHDMF-BYPYZUCNSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives","",NA
"M118T67_POS","L-Valine","KZSNJWFQEVHDMF-BYPYZUCNSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives","",""
"M118T67_POS","L-Valine","KZSNJWFQEVHDMF-BYPYZUCNSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives","",NA
"M118T932_POS","BETAINE","KWIUHFFTVRNATP-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","",NA
