"variable_id","name","InChIKey","ClassyFy.Status","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5"
"M165T77_POS","p-Coumaric acid","NGSWKAQJJWESNS-ZZXKWVIFSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",""
"M166T94_1_POS","L-Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","",NA
"M166T94_1_POS","L-Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA
"M166T94_1_POS","L-Phenylalanine","COLNVLDHVKWLRT-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","",NA
"M167T94_POS","D-Quinovitol","SKCKOFZKJLZSFA-KGULGNDLNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","Hexoses","","",NA
"M169T959_NEG","Gallic acid","LNTHITQWFMADLM-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives","Gallic acids","",""
"M170T772_POS","Piperidione","NFBUYGAMTGUOQP-ZWNOBZJWSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Tetrahydroisoquinolines","","Tetrahydroisoquinolines","","","",""
"M171T946_POS","Bis(2-chloro-1-methylethyl)ether","LHPNCVDPCZKRBF-MLZLACJZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives","","","",""
"M171T96_NEG","(+)-Decarestrictin L","GDXDHEIQIIZPSF-DSYSRCFZNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Oxanes","","Oxanes","","",NA,NA
"M173T421_NEG","Aconitic Acid"," GTZCVFVGUGFEME-IWQZZHSRSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M173T79_POS","Leucine","ROHFNLRQFUQHCH-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Leucine and derivatives","",NA
"M173T79_POS","Leucine","ROHFNLRQFUQHCH-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Leucine and derivatives","",NA
"M175T63_POS","Arginine","ODKSFYDXXFIFQN-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Arginine and derivatives","",""
"M175T700_POS","1,10-Decanediol","FOTKYAAJKYLFFN-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols","","",NA,NA
"M175T98_NEG","ASCORBIC ACID"," CIWBSHSKHKDKBQ-JLAZNSOCSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M177T459_POS","Ferulic acid","KSEBMYQBYZTDHS-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",""
"M178T459_POS","Entadamide C","LBGAGBWSXXFWGZ-QJTVEGGANA-N","Completed","Organic compounds","Organosulfur compounds","Sulfoxides","","Sulfoxides","","","",""
"M178T933_POS","Valerianine","ZRJLCVQCZVXUFB-SVGMAFHSNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","","Pyridines and derivatives","","","",NA
"M179T263_1_NEG","Psicose","BJHIKXHVCXFQLS-PUFIMZNGSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","","","",NA
"M179T326_NEG","Tagatose","BJHIKXHVCXFQLS-PQLUHFTBSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharides","","","",NA
"M180T148_NEG","Thiocyclam","NGXUJKBJBFLCAR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","","Benzene and substituted derivatives","","","",""
"M180T369_NEG","Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",NA
"M180T369_NEG","Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",""
"M180T369_NEG","Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",NA
"M181T318_2_NEG","Sorbitol","FBPFZTCFMRRESA-JGWLITMVSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols","","",NA,NA
"M182T318_NEG","Chlorphentermine","YDUGWJMUYOGFLN-UHFFFAOYSA-N","Completed","Organic compounds","Acetylides","","","Acetylides","","","",NA
"M182T77_POS","L-Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",NA
"M182T77_POS","L-Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",""
"M182T77_POS","L-Tyrosine","OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives","",NA
"M183T707_POS","Benzophenone","RWCCWEUUXYIKHB-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzophenones","Benzophenones","","","",NA
"M184T400_NEG","O-Phospho-L-serine","CQZSNPXVUHNSBI-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Hydroxyflavonoids","5-hydroxyflavonoids","","",NA,NA
"M185T83_POS","Chelidonic acid","PBAYDYUZOSNJGU-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives","Pyranones and derivatives","","","",""
"M185T96_NEG","10-Oxodecanoate","KHXMONVQVIGKEN-UHFFFAOYSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Lignan lactones","","Lignan lactones","","","",""
"M186T170_NEG","Hyacinthacine A3(1R,2R,3R,5R,7aR)-1,2-Dihydroxy-3-hydroxymethyl-5-methylpyrrolizidine","AGLLYYHKZWZSKX-VQZIKBDANA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolizidines","","Pyrrolizidines","","","",NA
"M187T1068_NEG","(Z)-But-2-ene-1,2,3-tricarboxylate","UFFBMTHBGFGIHF-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Xylenes","m-Xylenes","","","",NA
"M189T63_POS","Targinine","NTNWOCRCBQPEKQ-YFKPBYRVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Arginine and derivatives","",""
"M189T783_POS","IM-2","QXCJMSMGYHDDLQ-RFFRVANBNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones","","","",""
"M190T522_1_NEG","Carbendazim","GISQOONCPYNURT-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","","Benzene and substituted derivatives","","","",NA
"M190T877_POS","EPTC","RQVYBGPQFYCBGX-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Triazines","1,3,5-triazines","Methylthio-s-triazines","","","",NA
"M190T926_POS","4-Hydroxy-2-quinolinecarboxylic acid","NKJQZSDCCLDOQH-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Dibenzocycloheptenes","","Dibenzocycloheptenes","","","",""
"M191T398_NEG","Quinic acid","AAWZDTNXLSGCEK-LNVDRNJUSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclic alcohols and derivatives","Cyclitols and derivatives","Quinic acids and derivatives","",NA
"M191T549_NEG","Citric acid","KRKNYBCHXYNGOX-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives","","","",""
"M191T549_NEG","Citric acid","KRKNYBCHXYNGOX-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives","","","",NA
"M192T608_POS","DEET","MMOXZBCLCQITDF-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Toluenes","Toluamides","m-Toluamides","N,N-dialkyl-m-toluamides","",""
"M192T756_POS","Phendimetrazine","MFOCDFTXLCYLKU-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Oxazinanes","Morpholines","Phenylmorpholines","","","",""
"M193T157_POS","Carpacin","NOPFSRXAKWQILS-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols","","","",""
"M193T185_NEG","6,7,8-Trihydroxycoumarin","NSDVPAHANCHBFV-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Hydroxycoumarins","7-hydroxycoumarins","","","",""
"M193T62_NEG","5-Hydroxyconiferyl aldehyde","IEHPLRVWOHZKCS-NSCUHMNNSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols","","","",NA
"M193T79_POS","trans-3-Hydroxycotinine","XOKCJXZZNAUIQN-DTWKUNHWSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyrrolidinylpyridines","Pyrrolidinylpyridines","","","",NA
"M193T937_NEG","Cremeomycin","HTCPEWKHGGGJBI-UHFFFAOYSA-N","Completed","Organic compounds","Organic 1,3-dipolar compounds","Propargyl-type 1,3-dipolar organic compounds","Diazo compounds","Diazo compounds","","","",NA
"M195T402_NEG","D-Gluconic acid","RGHNJXZEOKUKBD-SQOUGZDYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","","","",""
"M195T402_NEG","D-Gluconic acid","RGHNJXZEOKUKBD-SQOUGZDYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","","","",NA
"M195T459_POS","trans-Ferulic acid","KSEBMYQBYZTDHS-HWKANZROSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids","","","",""
"M197T163_POS","2',6'-Dihydroxy-4'-hydroxyacetophenone","AZRTXUQINTVMDW-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA
"M197T814_POS","Ethyl(E,Z)-decadienoate","SNCJAJRILVFXAE-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Fluorenes","","Fluorenes","","","",NA
"M198T623_POS","N-(n-octyl)-2-pyrrolidinone","WPPOGHDFAVQKLN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines","N-alkylpyrrolidines","","","",NA
"M198T63_POS","Nitrilacarb","RYEFFICCPKWYML-AGJBZJOVSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Furopyrans","","Furopyrans","","","",NA
"M199T579_POS","Cycluron","RGYKQNAMCXXKOJ-MSOLQXFVSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes","","","",""
"M199T93_NEG","4-Maleylacetoacetate","QWCOHPHEFYGTLD-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines","","","",""
"M201T194_NEG","Setarin","LWRKLYVFSHDLMU-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","","Coumarins and derivatives","","","",""
"M202T596_POS","DDAO","ZRKZFNZPJKEWPC-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Aminoxides","Long-chain alkyl amine oxides","","","",NA
"M203T345_NEG","D-Tryptophan","QIVBCDIJIAJPQS-SECBINFHSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives","","","",""
"M203T596_POS","Spermine","QNNNZOMNDRGARI-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acid esters","",""
"M203T956_NEG","Oxaloglutarate","ADANNTOYRVPQLJ-UHFFFAOYSA-N","Completed","Organic compounds","Organometallic compounds","Organometalloid compounds","Organosilicon compounds","Siloxanes","","","",NA
"M205T148_1_POS","L-Tryptophan","QIVBCDIJIAJPQS-VIFPVBQESA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives","","","",""
"M205T754_POS","Monoisobutyl phthalate","RZJSUWQGFCHNFS-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","","","",NA
"M205T945_NEG","3-Oxalomalate","PDMUULPVBYQBBK-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenol ethers","Anisoles","Anisoles","","","",""
"M206T437_NEG","2-Amino-3-(2,3-dihydroxypropoxy)-3-methylbutanoic acid","UJKZZBBVGSXCLF-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives","",NA
"M206T90_POS","Panthenol","SNPLKNRPJHDVJA-ZETCQYMHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines","","","",NA
"M207T553_POS","Citropten"," NXJCRELRQHZBQA-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M207T94_POS","PHENYLALANINE","COLNVLDHVKWLRT-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA
"M208T861_POS","Lucidiuline","PISGDLOMGNKHKP-BMWASITENA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolidines","","Quinolidines","","","",""
"M209T149_POS","Kynurenine","YGPSJZOEDVAXAB-QMMMGPOBSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA
"M209T149_POS","Kynurenine","YGPSJZOEDVAXAB-QMMMGPOBSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA
"M209T556_POS","Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate","LPMBTLLQQJBUOO-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines","","","",""
"M209T589_POS","Sinapoyl aldehyde"," CDICDSOGTRCHMG-ONEGZZNKSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M209T589_POS","Sinapoyl aldehyde"," LBRPLJCNRZUXLS-YTMAOMSOSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M209T918_NEG","Cryolite","GPEIHTROFPDVTC-SFYZADRCSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Halobenzenes","Chlorobenzenes","Dichlorobenzenes","","",NA
"M210T398_NEG","Propachlor","YJLAFDRWUQNGNM-LLVKDONJSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides","","","",NA
"M210T61_NEG","Zalcitabine","VOCBWIIFXDYGNZ-IXKNJLPQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid esters","Steroid esters","","","",NA
"M210T862_POS","alpha-Campholene aldehyde","PAZIRMDVWSSYNT-NTUHNPAUNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Monocyclic monoterpenoids","","","",""
"M213T99_POS","Danielone","ZTBAPEIDNUHRNC-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA
"M215T260_2_NEG","5-Methoxypsoralen","BGEBZHIAGXMEMV-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Furanocoumarins","Linear furanocoumarins","Psoralens","5-methoxypsoralens","",NA
"M216T325_2_NEG","Butylate","RVDMSJMJLBOPMM-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Aromatic anilides","Benzanilides","","",NA
"M216T884_POS","Phenylphosphoric acid","CMPQUABWPXYYSH-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Aryl phosphates","Aryl phosphomonoesters","Phenyl phosphates",NA,NA
"M217T78_POS","6-Aminopenicillanate","ZPUCINDJVBIVPJ-QKGHYUKFSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","","","",NA
"M218T199_NEG","4-Amino-2-methyl-5-phosphomethylpyrimidine4-Amino-5-phosphomethyl-2-methylpyrimidine","PKYFHKIYHBRTPI-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Aminopyrimidines and derivatives","","","",""
"M218T330_NEG","D-Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","","",NA
"M218T330_NEG","D-Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","",NA,NA
"M218T330_NEG","D-Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","","",NA
"M219T330_POS","1-Methyltryptophan","ZADWXFSZEAPBJS-JTQLQIEISA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives","","","",NA
"M219T463_POS","(E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M219T938_NEG","m-Benzenesulfonium diazonium chloride","MSOUCVXDWWIFTI-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",""
"M220T289_NEG","N-Acetylglucosamine","OVRNDRQMDRJTHS-RTRLPJTCSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Amino sugars","Acylaminosugars","",""
"M220T92_POS","Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","","",NA
"M220T92_POS","Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","",NA,NA
"M220T92_POS","Pantothenic acid","GHOKWGTUZJEAQD-ZETCQYMHSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols","","","",NA
"M221T168_NEG","3-Deoxy-lyxo-heptulosaric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M223T625_POS","Apiole","QQRSPHJOOXUALR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzodioxoles","","Benzodioxoles","","","",""
"M225T647_POS","L-(+)-Anaferine","NUVBSKCKDOMJSU-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","p-Hydroxybenzoic acid esters","p-Hydroxybenzoic acid alkyl esters","",""
"M227T254_POS","Chorismate","WOOHRFNBDIFSDV-UHFFFAOYSA-M","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds","","",NA
"M227T69_NEG","Myristic acid","TUNFSRHWOTWDNC-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids","","","",NA
"M227T69_NEG","Myristic acid","TUNFSRHWOTWDNC-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids","","","",NA
"M230T168_NEG","Acetaminophen sulfate","IGTYILLPRJOVFY-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates","Phenylsulfates","","","",NA
"M230T65_POS","L-(+)-Ergothioneine","SSISHJJTAXXQAX-ZETCQYMHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Histidine and derivatives","",NA
"M230T694_POS","N,N-Dimethyldodecylamine N-oxide","SYELZBGXAIXKHU-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Aminoxides","Long-chain alkyl amine oxides","","","",NA
"M230T77_POS","Neopellitorine A","NRCJHYZZFRHVPS-AQASXUMVNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines","","","",""
"M231T1026_NEG","CNQX","RPMMVMLNTPICKA-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphonic acids and derivatives","Phosphonic acid diesters","Dialkyl alkylphosphonates","","","",NA
"M231T174_NEG","Pyrene-4,5-dione","OGZAJCFLQGWUMZ-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrazines","Pyrazines","","","",""
"M231T67_POS","N1-Acetyl-tabtoxinine-beta-lactam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M233T396_NEG","(R)-(Homo)3-citrate","BBCGBUYKCKZMFK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indolecarboxylic acids and derivatives","Indolecarboxamides and derivatives","","","",NA
"M233T532_POS","(1-Butylheptyl)benzene","RRPCXIBGXYGQNC-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","","Benzene and substituted derivatives","","","",NA
"M233T62_NEG","(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid"," AADVZSXPNRLYLV-UHFFFAOYNA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M233T62_NEG","(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid"," NZSCHTYUGUVLHG-WEVVVXLNSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M233T745_POS","Gibbilimbol A","LMJPVRXXPPOFAM-VOTSOKGWSA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids","","","",""
"M235T310_POS","Lidocaine","NNJVILVZKWQKPM-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Xylenes","m-Xylenes","","","",""
"M235T485_POS","Nor-ent-labdan-7-en-aldehyde","SZWZLWGBWZARPP-AQNYYISZNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Alpha-hydrogen aldehydes","","",NA
"M236T397_NEG","N-Acetyl-D-glucosaminate","PRQROPMIIGLWRP-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Oligopeptides","","",""
"M236T64_POS","Aporphine","BZKUYNBAFQJRDM-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","Aporphines","","Aporphines","","",NA,NA
"M237T148_POS","3-methyl-3,4-dihydro-1H-1,4-benzodiazepine-2,5-dione"," LJONQULKOKMKBR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M237T310_POS","Hernandulcin","HYQNKKAJVPMBDR-UYWMCZCJNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids","","","",NA
"M237T397_NEG","3-Deoxy-D-manno-octulosonate","MQQNFDZXWVTQEH-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Aminobenzoic acids and derivatives","Guanidinobenzoic acids and derivatives","","",""
"M237T447_POS","Brassinin","QYKQWFZDEDFELK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-alkylindoles","","","",""
