"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4"
"AADVZSXPNRLYLV-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Corynanthean-type alkaloids","","Corynanthean-type alkaloids"
"AMBQHHVBBHTQBF-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides"
"ARGKVCXINMKCAZ-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-7-O-glycosides"
"AWDKYYYAAQQLEF-XRSPUIAPSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides"
"AYJLVEAOIKOWIP-DUKVQSBLSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Coumarin glycosides","Coumarin glycosides"
"BJPSSVHNEGMBDQ-NUZBWSBOSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones"
"CDICDSOGTRCHMG-ONEGZZNKSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols"
"CIWBSHSKHKDKBQ-JLAZNSOCSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Dihydrofurans","Furanones","Butenolides"
"DCKYPAZZUYXYTC-SCGWIAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Ambrosanolides and secoambrosanolides"
"DCTLJGWMHPGCOS-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavans","Isoflavanones","6-prenylated isoflavanones"
"DLNWZIVYKQXLTN-CGYUPCHJSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolizidines","","Pyrrolizidines"
"DLRVVLDZNNYCBX-CQUJWQHSSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
"DLRVVLDZNNYCBX-ZZFZYMBESA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
