"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5"
"JZQKKSLKJUAGIC-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indoles","Indoles"
"KAHJSQLAOFTJLF-FPZZPKIRNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids","","Saccharolipids"
"KARZXNDNDLSNJC-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Sesquiterpenoids"
"KCKWLTSMSXSQHY-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Aconitane-type diterpenoid alkaloids"
"KDYFGRWQOYBRFD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives"
"KEFRSFBGIAUBNZ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols"
"KEMQGTRYUADPNZ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"KFRQKIBLZPTZAS-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenanthrenes and derivatives","","Phenanthrenes and derivatives"
"KGUVBHLPMGERAT-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Leucine and derivatives"
"KHBJLRRAMCJZLZ-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Cyclic ketones","Quinones","Benzoquinones","P-benzoquinones"
"KHXMONVQVIGKEN-UHFFFAOYSA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Lignan lactones","","Lignan lactones"
"KIJYSICAJWQCER-ADDIGHRONA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids"
"KJFNNCGVGSDNRR-BQYQJAHWSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones","Retrochalcones"
"KJHKTHWMRKYKJE-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives"
"KJKRQOTYPMAJRP-ZHONQUJTNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Diterpene lactones"
"KJRJUXVMCQKUFG-IXXSZUHNNA-N","Completed","Organic compounds","Benzenoids","Anthracenes","","Anthracenes"
"KLOOFYFJZNIUQJ-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Alkyl aryl ethers"
"KLXJPQNHFFMLIG-UHFFFAOYSA-N","Completed","Organic compounds","Organohalogen compounds","Halohydrins","Fluorohydrins","Fluorohydrins"
"KMEHEQFDWWYZIO-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Wax esters","Wax monoesters"
"KMYJDVOGPCWOTR-IFRROFPPNA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Flavonolignans","","Flavonolignans"
"KNFFJJFEYQLINT-FNORWQNLSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Oximes","Aldoximes"
"KOJLDSZARRTMAS-QUFQUMMLNA-O","Not Found","","","","",""
"KQPYUDDGWXQXHS-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes","Naphthoquinones","Naphthoquinones"
"KQTRNMODDGXNSU-XNCGDQPSNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Cyanogenic glycosides"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives"
"KRSRSVXCOOXXNY-KKDVFPBWNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Diterpene lactones"
"KSEBMYQBYZTDHS-HWKANZROSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids"
"KSEBMYQBYZTDHS-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids"
"KTOMTVREHDYENB-RXRMLSIQNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins"
"KVMPUXDNESXNOH-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Alkyl phosphates","Trialkyl phosphates"
"KVVPHYFRCWHASD-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives"
"KWGRBVOPPLSCSI-WPRPVWTQSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes"
"KWIUHFFTVRNATP-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids"
"KWXICGTUELOLSQ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonic acids and derivatives","Benzenesulfonic acids and derivatives"
"KXGVEGMKQFWNSR-TTYWQTGHNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Hydroxy bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives"
"KYPOHTVBFVELTG-UHFFFAOYSA-N","Failed","","","","",""
"KZSNJWFQEVHDMF-BYPYZUCNSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Valine and derivatives"
"LBGAGBWSXXFWGZ-QJTVEGGANA-N","Completed","Organic compounds","Organosulfur compounds","Sulfoxides","","Sulfoxides"
"LFLLAUFDKMXSRX-CFCULXLANA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"LGDDKZBOKLRXPS-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenanthrenes and derivatives","Phenanthrols","Phenanthrols"
"LHPNCVDPCZKRBF-MLZLACJZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives"
"LKMCJXXOBRCATQ-UHFFFAOYSA-N","Completed","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers"
"LLTRXRDEGBMRPL-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines"
"LMJPVRXXPPOFAM-VOTSOKGWSA-N","Completed","Organic compounds","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids","1-hydroxy-2-unsubstituted benzenoids"
"LNTHITQWFMADLM-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives","Gallic acid and derivatives","Gallic acids"
"LPMBTLLQQJBUOO-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines"
"LSGBKABSSSIRJF-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Triazines","1,3,5-triazines","1,3,5-triazines"
"LSNNMFCWUKXFEE-UHFFFAOYSA-N","Completed","Inorganic compounds","Homogeneous non-metal compounds","Non-metal oxoanionic compounds","Non-metal sulfites","Non-metal sulfites"
"LVPVDAUVYZESNO-JKAPJOBLNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Hexacarboxylic acids and derivatives","Hexacarboxylic acids and derivatives"
"LWRKLYVFSHDLMU-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","","Coumarins and derivatives"
"LXKLUWFIBVXFGX-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Styrenes","Styrenes"
"LYAYHRQWYQGYJH-AOFOMWIKSA-N","Not Found","","","","",""
"MAKRYGRRIKSDES-UHFFFAOYNA-N","Completed","Organic compounds","Hydrocarbons","Saturated hydrocarbons","Alkanes","Branched alkanes"
