"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4"
"WHUUTDBJXJRKMK-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Glutamic acid and derivatives"
"WJFJLAXLXSENEO-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids","8-O-methylated flavonoids"
"WJGBLIUGZFWCJN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzodiazepines","Dibenzodiazepines","Dibenzodiazepines"
"WKVRXCYBZOWRLM-PHNCJMPCNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Germacranolides and derivatives"
"WOGBNISMMIOPAZ-NWQIESHVSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds"
"WOOHRFNBDIFSDV-UHFFFAOYSA-M","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds"
"WOSYVGNDRYBQCQ-BARGLTKPSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Cyanogenic glycosides"
"WPBGTHBSULHLRG-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinoxalines","Phenazines and derivatives"
"WPHVOXMMNSLJSF-UZHALQEYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Hydroxy bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives"
"WPMWEFXCIYCJSA-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Dialkyl ethers","Polyethylene glycols"
"WPPOGHDFAVQKLN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","N-alkylpyrrolidines","N-alkylpyrrolidines"
"WRTRZAGRUVFFKR-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Alkyl phosphates","Monoalkyl phosphates"
"WTEOIRVLGSZEPR-UHFFFAOYSA-N","Completed","Inorganic compounds","Mixed metal/non-metal compounds","Metalloid salts","Metalloid fluorides","Metalloid fluorides"
"WUGMGNWGTQDXDH-VWXDLVHONA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Aromatic monoterpenoids"
"WUUGFSXJNOTRMR-IOSLPCCCSA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","5'-deoxyribonucleosides","5'-deoxy-5'-thionucleosides","5'-deoxy-5'-thionucleosides"
"WWNNZCOKKKDOPX-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","","","Alkaloids and derivatives"
"XAXWFBFMOAEBBT-CSKZOLHRNA-O","Not Found","","","","",""
"XKALZGSIEJZJCZ-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic carbonic acids and derivatives","Ureas","Ureas"
"XLXHKRNRAZZHCX-ITZKEPMANA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues","","Macrolides and analogues"
"XMCRIJDSBFFGCQ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters"
"XMVQWNRDPAAMJB-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids"
"XOAAWQZATWQOTB-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonic acids"
